Old Name,New Name,event_start_time_utc,Recording Start Time,Recording End Time,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,common_name,species_name,other_tags
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:31:06,#REF!,#REF!,1.333,3789.8438,8397.9492,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:34:04,#REF!,#REF!,1.934,3617.5781,8484.082,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:35:55,#REF!,#REF!,2.178,4048.2422,8354.8828,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:36:02,#REF!,#REF!,1.377,4780.3711,8311.8164,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:41:25,#REF!,#REF!,1.689,4565.0391,8053.418,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:55:48,#REF!,#REF!,1.045,1679.5898,9948.3398,152:Purple Swamphen,446:Porphyrio porphyrio,855:purple_swamphen_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:09:53,#REF!,#REF!,0.622,8656.3477,10249.8047,208:Variegated Fairy-wren,381:Malurus lamberti,971:variegated_fairy_wren_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:11:55,#REF!,#REF!,1.533,8053.418,10206.7383,208:Variegated Fairy-wren,381:Malurus lamberti,971:variegated_fairy_wren_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:12:04,#REF!,#REF!,1.578,4263.5742,8570.2148,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:13:32,#REF!,#REF!,1.422,4565.0391,8225.6836,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:19:19,#REF!,#REF!,3.756,1894.9219,2583.9844,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:20:29,#REF!,#REF!,6.355,1851.8555,2799.3164,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:20:36,#REF!,#REF!,0.8,2540.918,3574.5117,39:Brush Cuckoo,282:Cacomantis variolosus,645:brush_cuckoo_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:33:26,#REF!,#REF!,1.422,4392.7734,8957.8125,,,540:Fairy-wren|598:Unsure of species
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:40:44,#REF!,#REF!,5.334,3574.5117,10809.668,,,540:Fairy-wren|598:Unsure of species
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:41:14,#REF!,#REF!,2,6761.4258,9991.4063,,,540:Fairy-wren|598:Unsure of species
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:49:09,#REF!,#REF!,1.711,4220.5078,7795.0195,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:49:56,#REF!,#REF!,6.2,1851.8555,2670.1172,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:50:31,#REF!,#REF!,1.711,4478.9063,7364.3555,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:51:16,#REF!,#REF!,1.711,4048.2422,8268.75,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:53:07,#REF!,#REF!,1.644,4263.5742,7493.5547,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:55:39,#REF!,#REF!,1.178,3962.1094,7751.9531,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,17:57:15,#REF!,#REF!,1.155,3789.8438,7881.1523,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:00:03,#REF!,#REF!,4.8,1722.6563,2583.9844,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:00:28,#REF!,#REF!,1.533,4651.1719,7622.7539,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:01:28,#REF!,#REF!,1.178,4091.3086,8311.8164,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:02:28,#REF!,#REF!,1.334,4220.5078,7708.8867,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:03:13,#REF!,#REF!,1.445,3445.3125,7407.4219,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:03:21,#REF!,#REF!,6.333,1722.6563,2670.1172,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:04:45,#REF!,#REF!,1.489,4048.2422,8096.4844,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:06:51,#REF!,#REF!,1.756,4134.375,7708.8867,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:08:00,#REF!,#REF!,1.112,4091.3086,8010.3516,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:09:20,#REF!,#REF!,1.022,4091.3086,7665.8203,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:26:52,#REF!,#REF!,27.422,1378.125,7321.2891,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:27:43,#REF!,#REF!,3.444,1593.457,7192.0898,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:28:35,#REF!,#REF!,18.778,1550.3906,7579.6875,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:30:19,#REF!,#REF!,12.911,473.7305,4005.1758,110:Laughing Kookaburra,322:Dacelo novaeguineae,752:laughing_kookaburra_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:31:28,#REF!,#REF!,5.667,387.5977,3143.8477,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:32:59,#REF!,#REF!,1.822,387.5977,1808.7891,155:Red Junglefowl,344:Gallus gallus,869:red_jungle_fowl_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:33:17,#REF!,#REF!,1.933,2497.8516,8484.082,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:33:41,#REF!,#REF!,7.844,1291.9922,4048.2422,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:34:21,#REF!,#REF!,2,3789.8438,7751.9531,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:34:48,#REF!,#REF!,5.977,1205.8594,3316.1133,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:34:56,#REF!,#REF!,2.955,3617.5781,5555.5664,75:Eastern dwarf tree frog,376:Litoria fallax,
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:35:10,#REF!,#REF!,0.911,2454.7852,5081.8359,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:35:27,#REF!,#REF!,2.089,4435.8398,8914.7461,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:35:29,#REF!,#REF!,11.177,645.9961,3316.1133,110:Laughing Kookaburra,322:Dacelo novaeguineae,752:laughing_kookaburra_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:35:34,#REF!,#REF!,6.156,775.1953,2627.0508,125:Masked Lapwing,492:Vanellus miles,784:masked_lapwing_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:36:50,#REF!,#REF!,1.378,1679.5898,5426.3672,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:36:54,#REF!,#REF!,1.289,1981.0547,5081.8359,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:36:58,#REF!,#REF!,1.267,1894.9219,5081.8359,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:02,#REF!,#REF!,1.244,1765.7227,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:06,#REF!,#REF!,1.289,1765.7227,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:10,#REF!,#REF!,1.377,1722.6563,4823.4375,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:14,#REF!,#REF!,1.222,1550.3906,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:19,#REF!,#REF!,1.266,1765.7227,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:23,#REF!,#REF!,1.244,1808.7891,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:28,#REF!,#REF!,1.289,1808.7891,4737.3047,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:31,#REF!,#REF!,1.333,1851.8555,4737.3047,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:34,#REF!,#REF!,1.333,1765.7227,4521.9727,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:36,#REF!,#REF!,1.489,1937.9883,4780.3711,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:40,#REF!,#REF!,1.289,1851.8555,4694.2383,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:45,#REF!,#REF!,1.289,1808.7891,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:49,#REF!,#REF!,1.333,1808.7891,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:54,#REF!,#REF!,1.356,1722.6563,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:37:58,#REF!,#REF!,1.222,2067.1875,4694.2383,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:02,#REF!,#REF!,1.377,1636.5234,4780.3711,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:08,#REF!,#REF!,1.244,1937.9883,4780.3711,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:12,#REF!,#REF!,1.444,1765.7227,4780.3711,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:27,#REF!,#REF!,0.644,1636.5234,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,712:eastern_yellow_robin_5
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:31,#REF!,#REF!,0.645,1421.1914,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,712:eastern_yellow_robin_5
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:35,#REF!,#REF!,0.867,1119.7266,5167.9688,81:Eastern Yellow Robin,335:Eopsaltria australis,712:eastern_yellow_robin_5
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:38,#REF!,#REF!,6.533,1291.9922,2971.582,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:39,#REF!,#REF!,0.689,1162.793,5038.7695,81:Eastern Yellow Robin,335:Eopsaltria australis,712:eastern_yellow_robin_5
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:42,#REF!,#REF!,1.356,1550.3906,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:44,#REF!,#REF!,1,2454.7852,3875.9766,39:Brush Cuckoo,282:Cacomantis variolosus,645:brush_cuckoo_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:46,#REF!,#REF!,1.222,1464.2578,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:46,#REF!,#REF!,1,2454.7852,3789.8438,39:Brush Cuckoo,282:Cacomantis variolosus,645:brush_cuckoo_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:50,#REF!,#REF!,1.333,1248.9258,5081.8359,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:54,#REF!,#REF!,1.778,344.5313,2196.3867,155:Red Junglefowl,344:Gallus gallus,869:red_jungle_fowl_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:54,#REF!,#REF!,1.4,1205.8594,5211.0352,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:38:58,#REF!,#REF!,1.178,1205.8594,5167.9688,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:01,#REF!,#REF!,7.066,1464.2578,3229.9805,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:02,#REF!,#REF!,1.288,1335.0586,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:07,#REF!,#REF!,1.289,1593.457,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:11,#REF!,#REF!,1.177,1378.125,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:14,#REF!,#REF!,1.245,1593.457,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:18,#REF!,#REF!,1.356,1335.0586,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:23,#REF!,#REF!,1.289,1507.3242,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:27,#REF!,#REF!,1.067,1765.7227,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:30,#REF!,#REF!,2.823,5555.5664,8397.9492,156:Red-backed Fairy-wren,383:Malurus melanocephalus,864:red_backed_fairywren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:31,#REF!,#REF!,1.2,1507.3242,4866.5039,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:32,#REF!,#REF!,7.711,1636.5234,3703.7109,39:Brush Cuckoo,282:Cacomantis variolosus,644:brush_cuckoo_2
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:36,#REF!,#REF!,1.222,1507.3242,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:38,#REF!,#REF!,1.022,2627.0508,4048.2422,39:Brush Cuckoo,282:Cacomantis variolosus,645:brush_cuckoo_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:40,#REF!,#REF!,1.267,1335.0586,5124.9023,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:44,#REF!,#REF!,1.4,1507.3242,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:48,#REF!,#REF!,1.222,1335.0586,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:52,#REF!,#REF!,1.266,1550.3906,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:39:55,#REF!,#REF!,1.622,1464.2578,5124.9023,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:00,#REF!,#REF!,1.245,1464.2578,4995.7031,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:03,#REF!,#REF!,1.266,1894.9219,5081.8359,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:05,#REF!,#REF!,1.311,1593.457,4952.6367,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:08,#REF!,#REF!,1.133,1851.8555,4823.4375,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:10,#REF!,#REF!,1.111,1679.5898,4909.5703,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,18:40:12,#REF!,#REF!,1.244,1722.6563,4866.5039,81:Eastern Yellow Robin,335:Eopsaltria australis,708:eastern_yellow_robin_1
